rotate,4,x,i,,
rotate,4,z,i,,
rotate,4,x,i,,
rotate,2,i,x,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,2,i,z,,
rotate,2,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,2,i,z,,
rotate,2,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,2,i,z,,
rotate,2,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,4,z,x,,
rotate,-4,z,i,,
rotate,-4,i,x,,
rotate,2,i,z,,
rotate,2,i,x,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,2,i,z,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
rotate,4,i,x,,
rotate,4,i,z,,
rotate,4,i,x,,
rotate,8,i,z,,
